ano;cod_municipio;rd;nm_municipio;gre;cod_escola;nm_escola;tp_escola;p_em;nota_lp;nota_mt;nota_saep;idepe;mat_3em;tdi_3em;TP_LOCALIZACAO;IN_INTERNET;IN_NOTURNO;IN_EJA;QT_MAT_BAS;QT_MAT_MED_INT;QT_MAT_BAS_FEM;QT_MAT_BAS_MASC;QT_MAT_BAS_BRANCA;TX_MAT_MED_INT
2008;2600054;Metropolitana Recife;Abreu e Lima;Metropolitana Norte;26178435;ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA VIEIRA MULITERNO;INTEGRAL;0,93;4,73;5,23;4,98;4,65;;11,4;Urbana;1;0;0;823;823;465;358;104;1
2008;2601102;Sertão do Araripe;Araripina;Sertão do Araripe;26179474;ESCOLA DE REFERENCIA EM ENSINO MEDIO JOSIAS INOJOSA DE OLIVE;INTEGRAL;;;;;;;;Urbana;0;0;0;287;287;178;109;23;1
2008;2601201;Sertão do Moxotó;Arcoverde;Sertão do Moxotó-Ipanema;26178699;ESCOLA DE REFERENCIA EM ENSINO MEDIO DE ARCOVERDE;INTEGRAL;0,88;5,31;5,37;5,34;4,7;;7,5;Urbana;1;0;0;830;830;489;341;114;1
2008;2601706;Agreste Central;Belo Jardim;Agreste Centro Norte;26179873;ESCOLA DE REFERENCIA EM ENSINO MEDIO DE BELO JARDIM;INTEGRAL;;;;;;;;Rural;1;0;0;360;360;188;172;85;1
2008;2601904;Agreste Central;Bezerros;Mata Centro;26177013;ESCOLA DE REFERENCIA EM ENSINO MEDIO DE BEZERROS;INTEGRAL;0,92;5,17;5,63;5,4;4,97;;6,1;Urbana;1;0;0;854;854;496;358;244;1
2008;2602902;Metropolitana Recife;Cabo de Santo Agostinho;Metropolitana Sul;26178087;ESCOLA DE REFERENCIA EM ENSINO MEDIO CABO DE SANTO AGOSTINHO;INTEGRAL;0,87;4,62;5,05;4,83;4,19;;12,3;Urbana;1;0;0;359;359;191;168;29;1
2008;2603454;Metropolitana Recife;Camaragibe;Metropolitana Sul;26108038;ESCOLA DE REFERENCIA EM ENSINO MEDIO TITO PEREIRA DE OLIVEIR;INTEGRAL;0,71;3,47;3,67;3,57;2,53;;70,4;Rural;1;1;1;1298;171;687;611;93;0,131741140215716
2008;2603900;Sertão do Pajeú;Carnaíba;Sertão do Alto Pajeú;26016028;ESCOLA DE REFERENCIA EM ENSINO MEDIO JOAQUIM MENDES DA SILVA;INTEGRAL;0,81;3,37;3,78;3,57;2,9;;43;Urbana;1;1;1;715;277;436;279;155;0,387412587412587
2008;2604007;Mata Norte;Carpina;Mata Norte;26088282;ESCOLA DE REFERENCIA EM ENSINO MEDIO JOAQUIM OLAVO;INTEGRAL;;;;;;;;Urbana;1;0;0;348;348;194;154;12;1
2008;2604106;Agreste Central;Caruaru;Agreste Centro Norte;26054027;Escola de Referência em Ensino Médio Arnaldo Assunção;INTEGRAL;;;;;;;;Urbana;1;1;1;211;71;125;86;30;0,336492890995261
